Site,Code,Garden_pop,Ele,aet1951_1980,cwd1951_1980,pet1951_1980,ppt1951_1980,tmn1951_1980,tmx1951_1980,Lon.dd,Lat.dd,aet.2018wy,cwd.2018wy,pet.2018wy,ppt.2018wy,tmn.2018wy,tmx.2018wy
Summit City 3,SMT,1,229,481.3300072,690.0800103,1174.547518,1221.930018,10.3815206,23.58504164,-122.372117,40.665948,467.1299999,719.2700043,1186.400002,759.229991,10.19833354,24.67333333
Paynes Creek 2,PAY,2,871,363.5550054,746.8175111,1146.707517,909.4075136,6.238333194,20.2635,-121.824967,40.34589,404.2800078,787.7199841,1191.999985,779.6900015,9.136666795,21.7208333
Lyonsville 3,LYN,3,654,456.0125068,671.70251,1144.422517,849.1050127,7.29620817,22.08297918,-121.87941,40.346857,493.9500048,684.149992,1178.1,704.2800003,9.753333449,22.9466664
Mineral 2,MIN,4,255,344.4475051,789.6375118,1139.080017,724.5850108,9.306603959,23.24704162,-122.023796,40.312904,482.8199999,680.2800016,1163.100006,570.5800002,10.14833345,24.68166693
Dales 1,DAL,5,159,327.2150049,829.0800124,1161.332517,712.7675106,9.473312288,23.53218748,-122.098178,40.301173,511.289995,669.0099983,1180.29999,545.6299963,10.0241667,24.83
Brownsville 5,BRL,6,617,447.5500067,730.4575109,1204.517518,1445.377522,6.694083184,21.47164581,-121.282711,39.451884,NA,NA,NA,NA,NA,NA
Sierra Foothills Research & Extension Center,SFR,7,403,408.4925061,832.6525124,1251.102519,957.0575143,8.196749817,22.46647919,-121.3196164,39.26170905,565.960001,712.140008,1278.099998,920.2200093,9.655000071,23.17833328
Browns Valley 2,BRY,8,108,354.9700053,905.2200135,1265.802519,683.5275102,9.171833128,23.41954168,-121.412824,39.267166,NA,NA,NA,NA,NA,NA
Hopland Research & Extension Center,HOP,9,388,444.4000066,707.2675105,1165.387517,1016.077515,6.610187352,22.05950002,-123.095159,39.014569,620.4100025,564.7900009,1185.20001,716.4299963,7.936666747,22.38250001
Camino ?,CAM,10,NA,427.2250064,716.6225107,1184.432518,1131.920017,6.744854016,20.23791666,-120.63,38.77,NA,NA,NA,NA,NA,NA
Placerville ?,PLA,11,NA,420.7600063,744.5400111,1185.527518,898.3900134,6.760791516,21.88766663,-120.78,38.77,NA,NA,NA,NA,NA,NA
Cameron Park 1-1,CAM,12,363,366.7150055,871.120013,1249.227519,764.9000114,7.687062328,22.61287503,-121.029043,38.652698,NA,NA,NA,NA,NA,NA
El Dorado Hills 1-1,ELO,13,180,357.0525053,891.8275133,1254.580019,657.0575098,8.822353969,22.78483332,-121.099345,38.660976,NA,NA,NA,NA,NA,NA
Clayton 1,CLY,14,238,339.4400051,807.040012,1150.317517,541.2825081,7.863270658,21.67431247,-121.891527,37.915305,NA,NA,NA,NA,NA,NA
Sugarpine ?,SUG,15,NA,392.9775059,733.8575109,1193.297518,1014.252515,4.944791556,21.16574999,-120.22,38.07,519.7600031,728.2399998,1248.000004,768.570014,8.170833349,22.24083304
Sonora Ranger District,SRD,16,641,440.8900066,783.2500117,1264.467519,836.5575125,6.187958195,22.18125002,-120.3676529,37.98213953,297.3799968,1019.620016,1317.000021,321.7599943,9.216666718,24.46499983
Jamestown 1,JAM,17,302,371.0950055,949.5800141,1325.21252,579.4375086,9.012145632,23.56025003,-120.56026,37.846999,NA,NA,NA,NA,NA,NA
Sonora 1,SON,18,104,290.5950043,981.6850146,1284.692519,454.6725068,7.928645656,23.48758337,-120.654557,37.816318,297.3799968,1019.620016,1317.000021,321.7599943,9.216666718,24.46499983
Carmel Valley 1,CML,19,112,397.2575059,848.6550126,1255.710019,405.660006,6.396124857,22.98018748,-121.32248,36.280139,NA,NA,NA,NA,NA,NA
Hunter Liggett 1,HUN,20,412,354.0075053,879.8575131,1275.682519,618.9075092,4.219312406,24.53854165,-121.368873,36.073197,NA,NA,NA,NA,NA,NA
Elderwood 3,ELD,21,593,415.4025062,930.3275139,1356.67252,653.7275097,9.590791452,22.83424995,-119.132382,36.751552,NA,NA,NA,NA,NA,NA
San Joaquin Experimental Range,SJR,22,356,354.3625053,993.3000148,1367.29002,471.685007,7.802395659,24.51885417,-119.738746,37.095364,311.7699938,1093.829991,1405.599983,325.139994,9.708333373,25.4391667
Friant 1,FRI,23,352,268.762504,1037.892515,1329.45252,461.2225069,7.510916499,24.32597911,-119.637634,37.006433,NA,NA,NA,NA,NA,NA
Pozo 1,POZ,24,456,493.0175073,758.2075113,1290.007519,662.0775099,4.930333223,23.32268747,-120.441111,35.287418,NA,NA,NA,NA,NA,NA
Glennville 1,GLN,25,886,359.4175054,937.215014,1350.07252,502.3625075,5.896874868,21.47956246,-118.773841,35.706879,NA,NA,NA,NA,NA,NA
Santa Maria 3,SMR,26,665,355.4100053,985.8075147,1351.91752,560.4525084,8.560978975,23.0505417,-120.065918,35.086963,345.6000028,1035.599998,1381.199997,294.3299987,9.929999948,24.52666672
SFREC Garden,SFREC,107,NA,380.0325057,862.0475128,1248.232519,772.0950115,8.889958135,23.13620838,-121.317384,39.246756,NA,NA,NA,NA,NA,NA
HREC Garden,HREC,109,NA,421.3575063,732.5775109,1169.090017,977.7225146,6.106333197,22.77762497,-123.095917,39.013707,NA,NA,NA,NA,NA,NA